,id
120,1475752859006382081
121,1475728540557783041
122,1475711943595859971
123,1475688893735444480
124,1475668635356385284
125,1475661089031475200
126,1475658122375032834
127,1475655141927886849
128,1475654995341189123
129,1475594001331855361
130,1475589783061602304
131,1475588921195126790
132,1475576937464700934
133,1475548477820178442
134,1475543728722890754
135,1475541480421081088
136,1475540579731660803
137,1475536906826006530
138,1475536331052888066
139,1475536263369351172
140,1475536168100020226
141,1475528586232836101
142,1475507101522874368
143,1475456285470564357
144,1475455235653251074
145,1475454423010844678
146,1475453570711699456
147,1475452442225561600
148,1475445991646330882
149,1475424134691655680
150,1475417439374557187
151,1475398460283449348
152,1475395342208176128
153,1475389311210061826
154,1475343673944862720
155,1475339914145406978
156,1475306388536668162
157,1475304936938565637
158,1475299344341520388
159,1475289717696790529
160,1475281577764855810
161,1475270045970403328
162,1475265666999799813
163,1475258336627118087
164,1475252854441103373
165,1475252269419573257
166,1475247725075742720
167,1475244469666693129
168,1475237117118889992
169,1475217003761786888
170,1475213629351997442
171,1475211911310581761
172,1475198925594406913
173,1475197823423758336
174,1475196185216528384
175,1475194429778628615
176,1475168635295608833
177,1475168058071293958
178,1475167921517256705
179,1475153197056794625
180,1475149397210157057
181,1475128147104337922
182,1475127203033927680
183,1475122665262301187
184,1475121664614879232
185,1475115866513866756
186,1475107492740931591
187,1475097728711639056
188,1475097548012593153
189,1475095260732735491
190,1475094948408143874
191,1475092744230084617
192,1475092176505917443
193,1475091961249947649
194,1475091445904285698
195,1475082181869461507
196,1475082038810230786
197,1475081576040087559
198,1475063826206892035
199,1475061054514372610
200,1475042869572509697
201,1475038658793246725
202,1475030355568738307
203,1475027103510839297
204,1475026299605372929
205,1475025187271847936
206,1475023928108138497
207,1475023726240575489
208,1474986019703320580
209,1474957886162075651
210,1474928228523552770
211,1474901322553966592
212,1474896470478262273
213,1474883688089284608
214,1474849928383971337
215,1474811636544278532
216,1474793668347404294
217,1474782983575904259
218,1474775295743991824
219,1474770735289749506
220,1474761448278605824
221,1474755641004765196
222,1474665003185700865
223,1474664905701609474
224,1474633238920400897
225,1474622968466714626
226,1474591512084189184
227,1474589473354641408
228,1474589141765554177
229,1474576988182441988
230,1474575382619713539
231,1474564251809460227
232,1474535805137797120
233,1474483734875410432
234,1474405433121153050
235,1474395315084173323
236,1474374479920914436
237,1474354198531743760
238,1474353305304256513
239,1474324373964308484
240,1474292287484022784
241,1474274658186772483
242,1474254074178646025
243,1474245469874245637
244,1474234231169564673
245,1474227464570351626
246,1474176192953606151
247,1474119038586568705
248,1474117338832281610
249,1474116440877846531
250,1474097581412204554
251,1474097177425285120
252,1474087208579735556
253,1474078557722886147
254,1474063726676516864
255,1474062280811757571
256,1474038999891070980
257,1474035300385140748
258,1474018736588062720
259,1474007350218756097
260,1474004672889249798
261,1473997877248618496
262,1473995078804848640
263,1473960268740784130
264,1473939427147845634
265,1473930830602985480
266,1473924331877056512
267,1473884124280766467
268,1473855854294142978
269,1473801975279992832
